days,date,streamflow,precip,temp_min,temp_max,humidity_spec,radiation_sw
210,2017-07-29,0.1521945,2.12,3.789,13.948,0.00668621063232422,164.4375
211,2017-07-30,0.1590661,4.32,7.449,14.996,0.00748252868652344,133.625
212,2017-07-31,0.1691714,4.41,7.905,14.487,0.00758743286132813,190.75
213,2017-08-01,0.1687674,0.19,4.601,16.168,0.006622314453125,188.25
214,2017-08-02,0.1730865,4.79,5.915,14.609,0.00662994384765625,195.8125
215,2017-08-03,0.1774401,2.92,1.139,12.899,0.00603675842285156,186.9375
216,2017-08-04,0.2227917,13.95,8.023,14.365,0.00672245025634766,172
217,2017-08-05,0.2729248,19.37,7.851,13.683,0.00804424285888672,91.75
218,2017-08-06,0.3284424,13.98,8.241,13.742,0.00787258148193359,117.5625
219,2017-08-07,0.3638704,0.69,5.132,13.977,0.00684261322021484,123.25
220,2017-08-08,0.3740352,1.46,4.285,15.407,0.00594711303710938,168.1875
221,2017-08-09,0.3754873,1,7.535,12.839,0.00625705718994141,179.3125
222,2017-08-10,0.3878307,5.3,6.103,14.692,0.00755596160888672,38.625
223,2017-08-11,0.3675005,0,5.224,17.182,0.00666141510009766,228.4375
224,2017-08-12,0.3409664,0.17,7.861,16.37,0.00696849822998047,206.3125
225,2017-08-13,0.3157851,0.24,3.426,12.208,0.00661563873291016,129.375
226,2017-08-14,0.2870015,0,1.348,14.446,0.00471878051757813,228.6875
227,2017-08-15,0.2680151,0,6.964,11.592,0.0057220458984375,200.5625
228,2017-08-16,0.3336177,18.15,7.131,15.357,0.00689315795898438,46.3125
229,2017-08-17,0.361692,0.26,1.044,13.306,0.00562572479248047,210.9375
230,2017-08-18,0.4092552,8.88,7.863,15.601,0.00680160522460938,126.75
231,2017-08-19,0.4808932,3.61,7.893,13.225,0.00803375244140625,146.9375
232,2017-08-20,0.52487,0.1,2.767,15.292,0.00615501403808594,130.8125
233,2017-08-21,0.5156045,0.53,7.672,15.68,0.00655364990234375,137.0625
234,2017-08-22,0.5174574,4.56,3.52,16.327,0.00681972503662109,153.625
235,2017-08-23,0.4814106,0,0.363,16.991,0.00522041320800781,205.4375
236,2017-08-24,0.4281684,0,1.754,14.048,0.00590419769287109,210.125
237,2017-08-25,0.3873425,0.31,2.331,15.799,0.00586795806884766,145.125
238,2017-08-26,0.3513522,0,0.552,15.514,0.00573444366455078,156.5
239,2017-08-27,0.3190089,0,-0.236,17.629,0.00499725341796875,197.875
240,2017-08-28,0.2911539,0,3.288,14.127,0.005889892578125,174.6875
241,2017-08-29,0.280984,2.99,9.086,13.766,0.00781440734863281,114.4375
242,2017-08-30,0.2640267,3.38,0.639,13.172,0.00568389892578125,100.875
243,2017-08-31,0.2478483,0,2.91,13.823,0.00513744354248047,156.1875
244,2017-09-01,0.2386182,0.19,2.847,13.517,0.00567626953125,87
245,2017-09-02,0.2266659,0,0.198,13.68,0.00550556182861328,148.5
246,2017-09-03,0.2130465,0,1.624,13.254,0.00539016723632813,152.5
247,2017-09-04,0.20672,0.46,1.91,9.406,0.00548744201660156,138.4375
248,2017-09-05,0.1986443,0.53,5.6,8.993,0.00575637817382813,64.8125
249,2017-09-06,0.2000695,4.77,7.378,10.549,0.00684642791748047,11.3125
250,2017-09-07,0.2190491,9.18,5.805,8.653,0.00687503814697266,6.3125
251,2017-09-08,0.2402356,3.25,3.606,6.212,0.00584697723388672,27.75
252,2017-09-09,0.2687312,5.69,4.85,10.709,0.0057830810546875,26.8125
253,2017-09-10,0.2978927,0.71,3.537,10.883,0.00641059875488281,29.125
254,2017-09-11,0.3360631,1.13,5.657,9.842,0.00648117065429688,97.375
255,2017-09-12,0.4446061,14.17,4.784,10.748,0.00653743743896484,18.25
